"Report","Acronym","Description"
"SRCCL; WGIII","NAMA","Nationally Appropriate Mitigation Action; Nationally Appropriate Mitigation Actions"
"SRCCL; WGII","NAPA","National Adaptation Program of Action; National Adaptation Programmes of Action"
"SRCCL","NARC","Nepal Agricultural Research Council"
"SRCCL","NASA/GISS","US National Aeronautics and Space Administration"
"SRCCL; WGII; WGIII","NBS","Nature Based Solutions; Nature-Based Solutions; nature-based solutions"
"SRCCL; WGII","NCD","Non-Communicable Diseases; Non-Communicable Disease"
"SRCCL; SROCC; WGII","NCP","Nature's Contributions to People; Nature's Contribution to People"
"SRCCL; SROCC; SYR; WGI; WGII; WGIII","NDC","Nationally Determined Contribution; Nationally Determined Contributions"
"SRCCL; WGI; WGII","NDVI","Normalised Difference Vegetation Index; Normalized Difference Vegetation Index"
"SRCCL","NENA","Near East and North Africa"
"SRCCL","NEON","National Science Foundation's National Ecological Observatory Network"
"SRCCL; WGII","NEP","National Energy Programme; Net Ecosystem Production"
"SRCCL","NET","Negative Emission Technology"
"SRCCL","NFPP","National Forest Protection Program"
"SRCCL","NIAB","National Institute of Agricultural Botany"
"SRCCL","NOAA AVHRR","US National Oceanic and Atmospheric Administration Advanced Very High Resolution Radiometer"
"SRCCL","NOAA ESRL","US National Oceanic and Atmospheric Administration Earth System Research Laboratory"
"SRCCL","NRDC","Natural Resources Defence Council"
"SRCCL","NTFP","Non-Timber Forest Product"
"SRCCL","NUS","Neglected and Underutilised Species"
"SRCCL; WGI","OH","Hydroxyl Radical; hydroxyl radical"
"SRCCL; WGIII","OSS","Sahara and Sahel Observatory; one-stop shop"
"SRCCL","PAF","Pilot Auction Facility"
"SRCCL","PAGGW","Pan-African Agency of the Great Green Wall"
"SRCCL","PAH","Polycyclic Aromatic Hydrocarbon"
"SRCCL","PAYT","Pay As You Throw"
"SRCCL","PBAP","Primary Biological Aerosol Particles"
"SRCCL","PCP","Precipitation"
"SRCCL; WGIII","PCRAFI","Pacific Catastrophe Risk Assessment and Financing Initiative"
"SRCCL; WGII; WGIII","PEFC","Programme for the Endorsement of Forest Certification; Program for the Endorsement of Forest Certification"
"SRCCL; WGII; WGIII","PES","Payment for Environmental Services/Payment for Ecosystem Services; Payments for Ecosystem Services; payment for ecosystem services"
"SRCCL","PHL","Post Harvest Losses"
"SRCCL","PICS","Purdue Improved Crop Storage"
"SRCCL; SROCC; WGI; WGII; WGIII","PM","Particulate Matter; particulate matter"
"SRCCL","PoU","Prevalence of Undernourishment"
"SRCCL; WGIII","PPA","Power Purchase Agreements; Power Purchase Agreement"
"SRCCL","PPCDAm","Interministerial Plan of Action for Prevention and Control of Deforestation of the Legal Amazon"
"SRCCL; WGIII","PPI","Plant Phenology Index; pulp and paper industry"
"SRCCL","PRIMAP","Potsdam Real-time Integrated Model for the probabilistic Assessment of emission Paths"
"SRCCL","RAP","Representative Agricultural Pathways"
"SRCCL; SROCC; WGI; WGII; WGIII","RCP","Representative Concentration Pathway"
"SRCCL; WGII","REDD","Reducing Emissions from Deforestation and Degradation; Reduction of Emissions From Deforestation and Forest Degradation"
"SRCCL","RESTREND","Residual Trends"
"SRCCL","RIL","Reduced Impact Logging"
"SRCCL","ROSCA","Rotating Saving and Credit Association"
"SRCCL","RPDS","Research Program on Dryland Systems"
"SRCCL","RUE","Rain Use Efficiency"
"SRCCL","RUSLE","Revised Universal Soil Loss Equation"
"SRCCL","RVI","Reconstructed Vegetation Index"
"SRCCL","RWH","Rainwater Harvesting"
"SRCCL; SYR; WGI; WGII; WGIII","SDG","Sustainable Development Goal; Sustainable Development Goals"
"SRCCL","SDS-WAS","Sand and Dust Storm Warning Advisory and Assessment System"
"SRCCL","SERFOR","National Forest Service and Wildlife Authority"
"SRCCL; WGI; WGII","SES","Socio-Ecological Systems; South-Eastern South America; Socio-Ecological Systems / Southeast South America / Semi-Enclosed Sea"
"SRCCL","SFSC","Shortening Food Supply Chain"
"SRCCL; WGII; WGIII","SI","Sustainable Intensification; sustainable intensification"
"SRCCL","SIB","State Investment Bank"
"SRCCL","SICAR","National Land Registry System"
"SRCCL; SROCC; SYR; WGI; WGII; WGIII","SLCF","Short-Lived Climate Forcer; Short-Lived Climate Forcers; short-lived climate forcer"
"SRCCL; WGIII","SLCP","Short Lived Climate Pollutant; short-lived climate pollutant"
"SRCCL; WGII; WGIII","SLM","Sustainable Land Management; sustainable land management"
"SRCCL; WGI","SOA","Secondary Organic Aerosols; secondary organic aerosols"
"SRCCL; WGII","SOC","Soil Organic Carbon"
"SRCCL","SOFI","The State of Food Security and Nutrition in the World"
"SRCCL; WGII","SOM","Soil Organic Matter"
"SRCCL","SPOT VGT","Satellite Pour l'Observation de la Terre Vegetation (Satellite for the Observation of the Earth Vegetation)"
"SRCCL; SROCC","SR15","IPCC Special Report on Global Warming of 1.5°C"
"SRCCL","SR-LULUCF","IPCC Special Report on Land Use, Land-Use Change and Forestry"
"SRCCL; SYR; WGI; WGII; WGIII","SSP","Shared Socio-economic Pathways; Shared Socioeconomic Pathway; Shared Socioeconomic Pathways; Shared Socio-economic Pathway"
"SRCCL","SSSA","Soil Science Society of America"
"SRCCL","SWC","Soil and Water Conservation"
"SRCCL; WGIII","TEEB","The Economics of Ecosystems and Biodiversity"
"SRCCL","TSS","Time Series Segmentation"
"SRCCL","UGI","Urban Green Infrastructure"
"SRCCL; WGII; WGIII","UNCCD","United Nations Convention to Combat Desertification"
"SRCCL","UNCED","United Nations Conference on Environment and Development"
"SRCCL","UNCTAD","United Nations Conference on Trade and Development"
"SRCCL","UN-EMG","UN Environment Management Group"
"SRCCL","UNEP-GEF","UN Environment Global Environment Facility"
"SRCCL","UN-REDD","United Nations Collaborative Programme on Reducing Emissions from Deforestation and Forest Degradation in Developing Countries"
"SRCCL","UPAF","Urban and Peri-urban Agriculture and Forestry"
"SRCCL; WGII","USAID","United States Agency for International Development"
"SRCCL","USDA","United States Department of Agriculture"
"SRCCL","USEPA","United States Environmental Protection Agency"
"SRCCL","UTFI","Underground Taming of Floods for Irrigation"
"SRCCL","VGGT","Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests in the Context of National Food Security"
"SRCCL; WGI; WGII","VOC","Volatile Organic Compound; volatile organic compounds"
"SRCCL; WGII","VOD","Vegetation Optical Depth"
"SRCCL","WaTEM/SEDEM","Spatially distributed sediment delivery model combining the WaTEM and SEDEM models"
"SRCCL","WBA","World Bioenergy Association"
"SRCCL","WEPP","Water Erosion Prediction Project"
"SRCCL","WET","Wetland Extent Trends"
"SRCCL","WOCAT","World Overview of Conservation Approaches and Technologies"
"SRCCL","WRI","World Resources Institute"
"SRCCL","WSOA","Water Soluble Organic Compounds"
"SRCCL; WGI; WGII","WUE","Water Use Efficiency; water-use efficiency; Water-Use Efficiency"
"SRCCL","ZNLD","Zero Net Land Degradation"
"SROCC","a.s.l.","Above Sea Level"
"SROCC; WGI","AABW","Antarctic Bottom Water; Antarctic bottom water"
"SROCC; WGII","ABNJ","Areas Beyond National Jurisdiction"
"SROCC; WGII; WGIII","AC","Arctic Council; Air Conditioning; alternating current"
"SROCC; WGI","ACC","Antarctic Circumpolar Current"
"SROCC","AEWC","Alaska Eskimo Whaling Commission"
"SROCC; WGI","AIS","Antarctic Ice Sheet"
"SROCC; WGI; WGII","ALT","Active-Layer Thickness; active layer thickness; Active Layer Thickness"
"SROCC; WGI","AMV","Atlantic Multidecadal Variability; Atlantic Multi-decadal Variability"
"SROCC; WGI; WGII","AOGCM","Atmosphere-Ocean General Circulation Model; atmosphere–ocean general circulation model; Atmosphere–Ocean General Circulation Model"
"SROCC; WGI","AP","Antarctic Peninsula"
"SROCC; WGI; WGII","ASE","Amundsen Sea Embayment"
"SROCC","ATS","Antarctic Treaty System"
"SROCC","CAO","Central Arctic Ocean"
"SROCC","CBM","Community-based Monitoring"
"SROCC","CCAMLR","Convention for the Conservation of Antarctic Marine Living Resources"
"SROCC; WGII","CFC","Chlorofluorocarbons; Chlorofluorocarbon"
"SROCC; WGI; WGII","CMIP","Coupled Model Intercomparison Project"
"SROCC","CoSMoS","Coastal Storm Modeling System"
"SROCC","COWCLIP","Coordinated Ocean Wave Climate Project"
"SROCC","CPR","Continuous Plankton Recorder"
"SROCC; WGII","CRDP","Climate-Resilient Development Pathway; Climate Resilient Development Pathway"
"SROCC","DDT","Dichlorodiphenyl-trichloroethane"
"SROCC; WGII","DHW","Degree Heating Week; Degree Heating Weeks"
"SROCC; WGI","DIC","Dissolved Inorganic Carbon; dissolved inorganic carbon"
"SROCC","DO","Dissolved Oxygen"
"SROCC; WGII","DOC","Dissolved Organic Carbon; Dissolved Organic Carbon / Department of Conservation"
"SROCC","DSL","Deep Scattering Layers"
"SROCC; WGII","EAD","Expected Annual Damages"
"SROCC; WGI; WGII","EBUS","Eastern Boundary Upwelling System; Eastern boundary upwelling systems"
"SROCC","ECP","Extended Concentration Pathway"
"SROCC; WGI","EDW","Elevation Dependent Warming; elevation-dependent warming"
"SROCC; WGII","EEZ","Exclusive Economic Zone"
"SROCC; WGI; WGII","ESA CCI","European Space Agency Climate Change Initiative"
"SROCC; WGI; WGII","ETC","Extratropical Cyclone; extratropical cyclone; Extra-Tropical Cyclone"
"SROCC","FISHMIP","Fisheries and Marine Ecosystems Impact Model Intercomparison Project"
"SROCC","GACS","Global Alliance of Continuous Plankton Recorder Surveys"
"SROCC","GGR","Greenhouse Gas Removal"
"SROCC; WGI","GIA","Glacio-Isostatic Adjustment; glacial isostatic adjustment"
"SROCC","GPD","Generalised Pareto Distribution"
"SROCC; WGII","GPG","Good Practice Guidance"
"SROCC; WGI","GPS","Global Positioning System"
"SROCC; WGI; WGII","GRACE","Gravity Recovery and Climate Experiment"
"SROCC; WGI","GRD","Gravity, Rotation, and Deformation; gravitational, rotational and deformational"
"SROCC","GSP","Gross State Product"
"SROCC; WGII","HAB","Harmful Algal Blooms; Harmful Algal Bloom"
"SROCC; WGI; WGII; WGIII","HFC","Hydrofluorocarbons; hydrofluorocarbon; Hydrofluorocarbon"
"SROCC","HSM","Historical Simulation"
"SROCC","ICC","Inuit Circumpolar Council"
"SROCC; WGII","ICM","Integrated Coastal Management"
"SROCC; WGII","ICZM","Integrated Coastal Zone Management"
"SROCC","INGO","International Non-Governmental Organisation"
"SROCC","IOC-UNESCO","Intergovernmental Oceanographic Commission of the United Nations Educational, Scientific and Cultural Organization"
"SROCC","IRC","Inuvialuit Regional Corporation"
"SROCC","ISR","Inuvialuit Settlement Region"
"SROCC; WGI","ITCZ","Intertropical Convergence Zone; Inter-tropical Convergence Zone"
"SROCC","LDOC","Labile Dissolved Organic Carbon"
"SROCC; WGII","LECZ","Low Elevation Coastal Zone; Low-Elevation Coastal Zone"
"SROCC","LLIC","Low-Lying Islands and Coasts"
"SROCC; WGII","LMMA","Locally Managed Marine Protected Area; Locally Managed Marine Area"
"SROCC; WGII","LULUC","Land Use and Land-Use Change"
"SROCC","MAGT","Mean Annual Ground Temperature"
"SROCC; WGII","MCDA","Multi-Criteria Decision Analysis"
"SROCC; WGI; WGII","MHW","Marine Heatwave; marine heatwave; Marine Heatwaves"
"SROCC; WGI","MICI","Marine Ice Cliff Instability; marine ice cliff instability"
"SROCC; WGI","MIP","Model Intercomparison Project"
"SROCC; WGI","MOC","Meridional Overturning Circulation; meridional overturning circulation"
"SROCC; WGII; WGIII","MPA","Marine Protected Area; Marine-Protected Area; megapascal"
"SROCC; WGII","MSL","Mean Sea Level"
"SROCC; WGII","MSY","Maximum Sustainable Yield; Maximum Sustainable Yields"
"SROCC; WGI","NADW","North Atlantic Deep Water"
"SROCC; WGI; WGII","NAO","North Atlantic Oscillation"
"SROCC; WGI","NCEP","National Centers for Environmental Prediction; NOAA National Centers for Environmental Prediction"
"SROCC; WGI","OHC","Ocean Heat Content; ocean heat content"
"SROCC; WGI","OLS","Ordinary Least Square; ordinary least squares"
"SROCC; WGII","OMZ","Oxygen Minimum Zone; Oxygen Minimum Zones"
"SROCC","PCBs","Polychlorinated Biphenyls"
"SROCC; WGI; WGII","PDO","Pacific Decadal Oscillation"
"SROCC; WGII","PFC","Perfluorocarbons; Perfluorocarbon"
"SROCC","PIG","Pine Island Glacier"
"SROCC","PISM","Parallel Ice Sheet Model"
"SROCC; WGII","POC","Particulate Organic Carbon"
"SROCC; WGII","POP","Persistent Organic Pollutants; Persistent Organic Pollutant"
"SROCC","ppmv","parts per million volume"
"SROCC","PSU","Practical Salinity Unit"
"SROCC; WGII","RDM","Robust Decision Making; Robust Decision-Making"
"SROCC","RDOC","Refractory Dissolved Organic Carbon"
"SROCC","RGI","Randolph Glacier Inventory"
"SROCC","RITC","Rapid Intensification of Tropical Cyclones"
"SROCC; WGI; WGII","RSL","Relative Sea Level; relative sea level"
"SROCC; WGI; WGII","RSLR","Relative Sea Level Rise; relative sea level rise; Relative Sea-Level Rise"
"SROCC; WGI; WGII; WGIII","SAM","Southern Annular Mode; Southern Annular Mode / South American Monsoon; Social Accounting Matrix"
"SROCC","SAMOC","South Atlantic Meridional Overturning Circulation"
"SROCC; WGII","SDM","Structured Decision Making; Species Distribution Model"
"SROCC; WGII","SDP","Sustainable Development Pathway"
"SROCC; WGI","SH","Southern Hemisphere"
"SROCC; WGI","SLE","Sea Level Equivalent; sea level equivalent"
"SROCC; WGI","SLP","Sea Level Pressure; sea level pressure"
"SROCC; WGI","SMB","Surface Mass Balance; surface mass balance"
"SROCC","SPG","Subpolar Gyre"
"SROCC; WGII","SRTM","Shuttle Radar Topography Mission"
"SROCC; WGI; WGII","SWE","Snow Water Equivalent; snow water equivalent"
"SROCC; WGI; WGII","TC","Tropical Cyclone; tropical cyclone"
"SROCC","THC","Thermohaline Circulation"
"SROCC; WGI","ToE","Time of Emergence; time of emergence"
"SROCC","UNCLOS","United Nations Convention on the Law of the Sea"
"SROCC","UQ","Uncertainty Quantification"
"SROCC; WGI","VLM","Vertical Land Motion; vertical land motion"
"SROCC; WGI","WBC","Western Boundary Current; western boundary current"
"SROCC","WGMS","World Glacial Monitoring Service"
"SYR; WGI; WGII","CID","Climatic impact-driver; climatic impact-driver; Climate-Impact Driver"
"SYR; WGI; WGIII","CO2-eq","Carbon Dioxide Equivalent; carbon dioxide equivalent"
"SYR; WGII; WGIII","CRD","Climate Resilient Development; climate-resilient development"
"SYR","CO2-FFI","CO2 from Fossil Fuel combustion and Industrial processes"
"SYR","CO2-LULUCF","CO2 from Land Use, Land-Use Change and Forestry"
"SYR","CSB","Cross-Section Box"
"SYR; WGIII","FFI","Fossil-Fuel combustion and Industrial processes; fossil fuel and industry"
"SYR","F-gases","Fluorinated gases"
"SYR; WGII","GW","Gigawatt"
"SYR; WGI; WGII","GWL","Global Warming Level; global warming level"
"SYR; WGIII","GWP100","Global Warming Potential over a 100 year time horizon; 100-year global warming potential"
"SYR","IEA-STEPS","International Energy Agency Stated Policies Scenario"
"SYR; WGIII","IMP","Illustrative Mitigation Pathway"
"SYR; WGIII","IMP-LD","Illustrative Mitigation Pathway - Low Demand; Illustrative Mitigation Pathway – Low Demand"
"SYR; WGIII","IMP-NEG","Illustrative Mitigation Pathway - NEGative emissions deployment; Illustrative Mitigation Pathway – Net Negative Emissions"
"SYR; WGIII","IMP-SP","Illustrative Mitigation Pathway - Shifting development Pathways; Illustrative Mitigation Pathway – Shifting Pathways"
"SYR; WGIII","IMP-REN","Illustrative Mitigation Pathway - Heavy reliance on RENewables; Illustrative Mitigation Pathway – Renewable Electricity"
"SYR","IP-ModAct","Illustrative Pathway Moderate Action"
"SYR; WGII; WGIII","LCOE","Levelized Cost of Energy; Levelised Costs of Electricity; levelised cost of electricity or levelised cost of energy"
"SYR","Li-on","Lithium-ion"
"SYR; WGIII","MWh","Megawatt hour; megawatt hour"
"SYR","RCB","Remaining Carbon Budget"
"SYR","RFCs","Reasons for Concern"
"SYR; WGIII","SDPs","Shifting Development Pathways; shifting development pathways to increased sustainability"
"SYR","tCO2-eq","Tonne of carbon dioxide equivalent"
"SYR","tCO2-FFI","Tonne of carbon dioxide from Fossil Fuel combustion and Industrial processes"
"SYR; WGI; WGIII","WG","Working Group; IPCC Working Group"
"SYR","Wm-2","Watts per square meter"
"WGI","20CR","20th Century Reanalysis"
"WGI","A1B","Special Report on Emissions Scenarios A1B scenario"
"WGI","AAIW","Antarctic intermediate water"
"WGI; WGII","AAO","Antarctic Oscillation; Antarctic Ocean Oscillation"
"WGI","abrupt4xCO2","Scenario with abrupt quadrupling of the atmospheric concentration of carbon dioxide"
"WGI; WGII","ACE","Accumulated Cyclone Energy; Antarctic Climate & Ecosystems Cooperative Research Centre"
"WGI","AED","atmospheric evaporative demand"
"WGI","AeroCom","Aerosol Comparisons between Observations and Models project"
"WGI","AERONET","Aerosol Robotic Network"
"WGI","AEW","African Easterly Wave"
"WGI; WGII; WGIII","AF","airborne fraction of CO2; Africa / Agroecological Farming; Adaptation Fund"
"WGI; WGIII","AFR","Africa"
"WGI; WGIII","AGAGE","Advanced Global Atmospheric Gases Experiment"
"WGI","AGFP","absolute global forcing potential"
"WGI","AGR/ECOL","agriculture and ecological droughts"
"WGI","AGTP","absolute global temperature change potential"
"WGI","AGWP","absolute global warming potentials"
"WGI","AIRS","Atmospheric Infrared Sounder"
"WGI","ALL","all forcings"
"WGI","AMIP","Atmospheric Model Intercomparison Project"
"WGI","AMM","Atlantic Meridional Mode"
"WGI","AMMA","African Monsoon Multidisciplinary Analyses"
"WGI","AMSU","Advanced Microwave Sounding Unit"
"WGI","AO","Arctic Oscillation"
"WGI","AOD","aerosol optical depth"
"WGI","AQ","air quality"
"WGI","ARO","Arctic Ocean"
"WGI","ARP","Arabian Peninsula"
"WGI","ARS","Arabian Sea"
"WGI","AUS","Australasia"
"WGI","AusMCM","Australian–Maritime Continent monsoon"
"WGI","AZM","Atlantic Zonal Modes"
"WGI","BCE","Before the Common Era"
"WGI","BCP","biological carbon pump"
"WGI","BOB","Bay of Bengal"
"WGI","BP","before the present"
"WGI","BSISO","boreal summer intra-seasonal oscillation"
"WGI","BU","bottom up"
"WGI","C3S","Copernicus Climate Change Service"
"WGI","C4MIP","Coupled Climate Carbon Cycle Model Intercomparison Project"
"WGI","CAMS","Copernicus Atmosphere Monitoring Service"
"WGI","CanESM2","Canadian Earth System Model version 2"
"WGI","CanESM5","Canadian Earth System Model version 5"
"WGI","CAPE","convective available potential energy"
"WGI","CAU","Central Australia"
"WGI","CCM","chemistry–climate model"
"WGI","CCMI","Chemistry–Climate Modelling Initiative"
"WGI; WGIII","CD","cooling degree days; charge depleting"
"WGI","CDRMIP","Carbon Dioxide Removal Model Intercomparison Project"
"WGI","CDW","Circumpolar Deep Water"
"WGI; WGII; WGIII","CE","Common Era; Circular Economy; circular economy"
"WGI","CERES","Clouds and the Earth's Radiant Energy System"
"WGI","CFMIP","Cloud Feedback Model Intercomparison Project"
"WGI","CFSR","Climate Forecast System Reanalysis"
"WGI; WGIII","CGTP","combined global temperature change potential"
"WGI","CICERO","Center for International Climate and Environment Research"
"WGI","CISM2","Community Ice Sheet Model 2"
"WGI","CLLJ","Caribbean low-level jet"
"WGI","CLSAT","China Land Surface Air Temperature"
"WGI","CMAP","NOAA Climate Prediction Center Merged Analysis of Precipitation"
"WGI","COBE","Centennial in situ Observation-Based Estimates of Sea Surface Temperature"
"WGI; WGII","COVID-19","coronavirus disease of 2019; Coronavirus Disease 2019"
"WGI","CP","Central Pacific"
"WGI","CPM","convection-permitting model"
"WGI","CRA","climate risk and adaptation assessment"
"WGI","CRE","cloud radiative effect"
"WGI; WGII","CRM","cloud resolving model; Climate Risk Management"
"WGI","CRUTS","Climatic Research Unit gridded time-series dataset"
"WGI","DAMIP","Detection and Attribution Model Intercomparison Project"
"WGI","DCPP","Decadal Climate Prediction Project"
"WGI","DECK","Diagnostic, Evaluation and Characterization of Klima"
"WGI","DeepMIP","Deep-Time Model Intercomparison Project"
"WGI","DF","drought frequency"
"WGI","DI","Drought Index"
"WGI","DJFM","December–January–February–March"
"WGI","DMS","dimethyl sulphide"
"WGI","DTR","diurnal temperature range"
"WGI","DU","Dobson Units"
"WGI","EAN","East Antarctica"
"WGI","EAO","Equatorial Atlantic Ocean"
"WGI","EAsiaM","East Asian monsoon"
"WGI","EASM","East Asian summer monsoon"
"WGI","EAU","Eastern Australia"
"WGI","EAWM","East Asian winter monsoon"
"WGI","EBAF","CERES Energy Balanced and Filled climate data record"
"WGI; WGII","EBM","Energy Balance Model; Ecosystem-Based Management"
"WGI","ECV","Essential Climate Variable"
"WGI; WGII","ECWL","Extreme Coastal Water Level"
"WGI","EECO","Early Eocene Climatic Optimum"
"WGI; WGII","EEU","Eastern Europe"
"WGI","EgC","exagrams of carbon (1000 petagrams of carbon)"
"WGI","EIO","Equatorial Indian Ocean"
"WGI","EOF","empirical orthogonal function"
"WGI","EOV","Essential Ocean Variable"
"WGI; WGII","EP","Eastern Pacific; Environmental Peacebuilding"
"WGI","EPO","Equatorial Pacific Ocean"
"WGI","EqAmer","equatorial America"
"WGI","ERA-Interim","ECMWF global reanalysis"
"WGI","ERA20C","ECMWF 20th century reanalysis"
"WGI","ERA20CM","ECMWF 20th century atmospheric model ensemble"
"WGI","ERA5","ECMWF global reanalysis (replaces ERA-Interim)"
"WGI","ERSST","Extended Reconstructed Sea Surface Temperature"
"WGI; WGII; WGIII","ESA","European Space Agency; energy services agreement"
"WGI; WGII","ESAF","East Southern Africa"
"WGI","ESB","East Siberia"
"WGI","ESGF","Earth System Grid Federation"
"WGI","ESMValTool","Earth System Model Evaluation Tool"
"WGI; WGII","ESWL","extreme still water levels; Extreme Still Water Level"
"WGI; WGII","ET","evapotranspiration; Evapotranspiration"
"WGI","ETCCDI","Expert Team on Climate Change Detection and Indices"
"WGI; WGII","ETWL","Extreme Total Water Level"
"WGI","FAPAR","fraction of absorbed photosynthetically active radiation"
"WGI; WGII","FAR","IPCC First Assessment Report; Financing for Adaptation and Resilience / Fraction of Attributable Risks"
"WGI","FD","frost days"
"WGI","FESOM","Finite Element Sea ice/Ice Shelf Ocean Model"
"WGI; WGII","FFDI","Forest Fire Danger Index"
"WGI","FOLU","forestry and other land use"
"WGI","fSST","fixed-sea surface temperature"
"WGI","GCOS","Global Climate Observing System"
"WGI; WGII","GDD","growing degree days; Growing Degree Days"
"WGI","GeoMIP","Geoengineering Model Intercomparison Project"
"WGI","GHCNd","NOAA Global Historical Climatology Network daily database"
"WGI","GHCNv4","NOAA Global Historical Climatology Network monthly database version 4"
"WGI","GIC","Greenland/Iceland"
"WGI","GlacierMIP","Glacier Model Intercomparison Project"
"WGI","GLDAS","Global Land Data Assimilation System"
"WGI","GloGEM","Global Glacier Evolution Model"
"WGI","GMMIP","Global Monsoons Model Intercomparison Project"
"WGI","GMTSL","global mean thermosteric sea level"
"WGI","GNSS","Global Navigation Satellite System"
"WGI","GOME","Global Ozone Monitoring Experiment"
"WGI","GOSAT","Greenhouse Gases Observing Satellite"
"WGI; WGII","GPCC","Global Precipitation Climatology Centre"
"WGI","GPCP","Global Precipitation Climatology Project"
"WGI","GPM","Global Precipitation Mission"
"WGI","GrIS","Greenland Ice Sheet"
"WGI","GSMaP","Global Satellite Mapping of Precipitation dataset"
"WGI","GtC","gigatonnes of carbon"
"WGI","GtCO2","gigatonnes of carbon dioxide"
"WGI","HadEX3","Hadley Centre gridded land surface extremes indices"
"WGI","HadISST","Hadley Centre Ice and Sea Surface Temperature dataset"
"WGI","HadSST","Hadley Centre Sea Surface Temperature dataset"
"WGI","HC","Hadley circulation"
"WGI","HCFC","hydrochlorofluorocarbon"
"WGI","HD","heating degree days"
"WGI","HI","heat index"
"WGI","HighResMIP","High Resolution Model Intercomparison Project"
"WGI","HNO3","nitric acid"
"WGI","IAGOS","In-service Aircraft for a Global Observing System"
"WGI; WGIII","ICE","initial condition ensemble; internal combustion engine"
"WGI","ICESat","Ice, Cloud and land Elevation Satellite"
"WGI","ICOADS","International Comprehensive Ocean–Atmosphere Data Set"
"WGI","IMBIE","Ice Sheet Mass Balance Intercomparison Exercise"
"WGI","INP","ice nucleating particle"
"WGI","IOB","Indian Ocean Basin"
"WGI","IRF","instantaneous radiative forcing"
"WGI","IRFaci","Instantaneous radiative forcing (or effect) due to aerosol-cloud interactions"
"WGI","IRFari","Instantaneous radiative forcing (or effect) due to aerosol–radiation interactions"
"WGI","JAS","July–August–September"
"WGI","JAXA","Japan Aerospace Exploration Agency"
"WGI","JJAS","June–July–August–September"
"WGI","LAP","light-absorbing particle"
"WGI","LARMIP","Linear Antarctic Response Model Intercomparison Project"
"WGI","LDT","Last deglacial transition"
"WGI","LEO","low Earth orbit"
"WGI","LLGHG","long-lived greenhouse gas"
"WGI","LLHI","Low-likelihood, high-impact"
"WGI","LNOx","lightning NOx"
"WGI","LR","lapse rate"
"WGI","LW","longwave"
"WGI","LWP","liquid water path"
"WGI","LWS","land-water storage"
"WGI","MAT","marine air temperature"
"WGI","MCO","Miocene Climatic Optimum"
"WGI; WGII","MDG","Madagascar; Millennium Development Goal"
"WGI; WGII","MENA","Middle East North Africa; Middle East and North Africa"
"WGI","MERRA","Modern-Era Retrospective Analysis for Research and Applications"
"WGI","METACLIP","Metadata for climate products project"
"WGI","MH","mid-Holocene"
"WGI; WGIII","MIS","Marine Isotope Stage; mission-oriented innovation systems"
"WGI","MISMIP","Marine Ice Sheet Model Intercomparison Projects"
"WGI","MJO","Madden–Julian Oscillation"
"WGI","MLO","Mauna Loa Observatory"
"WGI","MME","multi-model ensemble"
"WGI","MSD","midsummer drought"
"WGI","MTFR","maximum technically feasible reductions"
"WGI","NAM","Northern Annular Mode"
"WGI","NAmerM","North American monsoon"
"WGI","NARCCAP","North American Regional Climate Change Assessment Program"
"WGI","NASH","North Atlantic Subtropical High"
"WGI","NBP","Net Biome Productivity"
"WGI","NCA","Northern Central America"
"WGI; WGII","NCEI","NOAA National Centers for Environmental Information; National Centers for Environmental Information"
"WGI","NDD","number of dry days"
"WGI","NEAF","North Eastern Africa"
"WGI","NEN","North-Eastern North America"
"WGI","NES","North-Eastern South America"
"WGI","NH","Northern Hemisphere"
"WGI","NH4","ammonium"
"WGI","NMAT","nighttime marine air temperature"
"WGI","NO2","nitrogen dioxide"
"WGI","NO3","nitrate"
"WGI","NOAAGlobalTemp","NOAA Merged Land Ocean Global Surface Temperature Analysis"
"WGI","NPO","North Pacific Ocean"
"WGI; WGIII","NSA","Northern South America; non-state actor"
"WGI","NWN","North-Western North America"
"WGI; WGII","NWS","North-Western South America; Northwestern South America"
"WGI; WGII","NZ","New Zealand"
"WGI; WGIII","ODS","ozone depleting substances; ozone-depleting substance"
"WGI","OLR","outgoing longwave radiation"
"WGI","OMI","Ozone Monitoring Instrument"
"WGI","OMIP","Ocean Model Intercomparison Project"
"WGI; WGII; WGIII","PA","Paris Agreement; Partnership Agreement / Protected Area; The Paris Agreement"
"WGI","PAGES 2K","Past Global Changes 2k consortium"
"WGI","PC","principal component"
"WGI; WGII","pCO2","partial pressure of CO2; Partial Pressure of Carbon Dioxide"
"WGI","PDV","Pacific Decadal Variability"
"WGI","PERSIANN-CDR","Precipitation estimations from Remotely Sensed Information using Artificial Neural Networks Climate Data Record"
"WGI","PETM","Paleocene–Eocene Thermal Maximum"
"WGI","PgC","petagrams of carbon"
"WGI","PgCeq","petagrams of carbon equivalent"
"WGI","PlioMIP","Pliocene Model Intercomparison Project"
"WGI","PMIP","Paleoclimate Modelling Intercomparison Project"
"WGI","POA","primary organic aerosols"
"WGI","PSS-78","Practical Salinity Scale 1978"
"WGI","QBO","quasi-biennial oscillation"
"WGI","RAR","Russian Arctic Region"
"WGI","RCMIP","Reduced Complexity Model Intercomparison Project"
"WGI","RFE","Russian Far East"
"WGI","RFMIP","Radiative Forcing Model Intercomparison Project"
